config,rows,cols,baseline_mode,baseline_ms,baseline_gbps,best_user_mode,best_user_ms,best_user_gbps,latency_speedup_user_vs_baseline,throughput_ratio_user_vs_baseline
512x1024,512,1024,framework_torch,0.00412992,1015.59,user_v2,0.0061544,681.513,0.6710516053555179,0.6710513100759165
1024x1024,1024,1024,framework_torch,0.00616688,1360.268,user_v2,0.0102494,818.446,0.6016820496809568,0.6016799630661017
2048x1024,2048,1024,framework_torch,0.00885424,1894.823,user_v2,0.0184322,910.214,0.4803680515619405,0.4803688787818176
4096x128,4096,128,framework_torch,0.00410528,1021.685,user_v1,0.0184285,227.599,0.2227679952247877,0.22276827006366934
4096x256,4096,256,framework_torch,0.00413856,2026.939,user_v1,0.0184344,455.052,0.22450201796641064,0.2245020693765328
4096x512,4096,512,framework_torch,0.00883232,1899.525,user_v2,0.0225078,745.394,0.3924115195621073,0.392410734262513
4096x1024,4096,1024,framework_torch,0.0209832,1599.109,user_v2,0.0327755,1023.77,0.6402099128922518,0.6402127684854504
4096x2048,4096,2048,framework_torch,0.1161053,578.0001,user_v2,0.110488,607.385,1.0508408152921584,1.0508389185399796
4096x4096,4096,4096,framework_torch,0.2264251,592.7687,user_v2,0.236523,567.461,0.9573069003860089,0.9573059441228932
4096x8192,4096,8192,framework_torch,0.4607531,582.6015,user_v2,0.652279,411.534,0.7063742662265686,0.7063730525925526
8192x1024,8192,1024,framework_torch,0.1159902,578.5734,user_v2,0.10655,629.837,1.0885987799155326,1.088603451178364
16384x1024,16384,1024,framework_torch,0.2332106,575.5216,user_v2,0.233964,573.669,0.9967798464721067,0.9967810070030385
