config,framework_torch,cudnn,baseline,library,user,user_v1,user_v2
512x1024,1015.59,512.09,511.83,184.676,339.873,409.255,681.513
1024x1024,1360.268,682.098,645.738,272.713,454.941,511.845,818.446
2048x1024,1894.823,744.183,739.277,345.277,507.328,567.494,910.214
4096x128,1021.685,1024.04,136.573,108.507,186.206,227.599,227.571
4096x256,2026.939,2041.06,256.129,195.578,372.401,455.052,454.941
4096x512,1899.525,2046.08,481.469,308.838,481.55,546.236,745.394
4096x1024,1599.109,780.437,779.605,419.543,546.357,606.422,1023.77
4096x2048,578.0001,609.254,546.522,267.865,409.29,528.639,607.385
4096x4096,592.7687,578.571,555.401,210.913,330.879,501.016,567.461
4096x8192,582.6015,575.015,560.588,205.009,331.234,362.267,411.534
8192x1024,578.5734,628.417,541.489,244.748,409.458,571.513,629.837
16384x1024,575.5216,575.372,550.495,188.613,343.105,570.715,573.669
