ID,Process ID,Process Name,Host Name,Kernel Name,Context,Stream,Block Size,Grid Size,Device,CC,Section Name,Metric Name,Metric Unit,Metric Value,mode,stall_reason,value_pct,stage
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_barrier_per_warp_active.pct,%,10.84,baseline,barrier,10.84,baseline kernel
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_branch_resolving_per_warp_active.pct,%,1.67,baseline,branch_resolving,1.67,baseline kernel
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,%,0.69,baseline,dispatch_stall,0.69,baseline kernel
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_drain_per_warp_active.pct,%,0.05,baseline,drain,0.05,baseline kernel
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_lg_throttle_per_warp_active.pct,%,0.0,baseline,lg_throttle,0.0,baseline kernel
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,63.77,baseline,long_scoreboard,63.77,baseline kernel
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct,%,0.57,baseline,math_pipe_throttle,0.57,baseline kernel
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_membar_per_warp_active.pct,%,0.0,baseline,membar,0.0,baseline kernel
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct,%,3.04,baseline,mio_throttle,3.04,baseline kernel
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_misc_per_warp_active.pct,%,0.0,baseline,misc,0.0,baseline kernel
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_no_instruction_per_warp_active.pct,%,1.43,baseline,no_instruction,1.43,baseline kernel
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_not_selected_per_warp_active.pct,%,4.42,baseline,not_selected,4.42,baseline kernel
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,%,13.68,baseline,short_scoreboard,13.68,baseline kernel
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_sleeping_per_warp_active.pct,%,0.0,baseline,sleeping,0.0,baseline kernel
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_tex_throttle_per_warp_active.pct,%,0.0,baseline,tex_throttle,0.0,baseline kernel
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_wait_per_warp_active.pct,%,13.68,baseline,wait,13.68,baseline kernel
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_barrier_per_warp_active.pct,%,20.2,cudnn,barrier,20.2,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_branch_resolving_per_warp_active.pct,%,1.49,cudnn,branch_resolving,1.49,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,%,0.12,cudnn,dispatch_stall,0.12,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_drain_per_warp_active.pct,%,0.05,cudnn,drain,0.05,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_lg_throttle_per_warp_active.pct,%,0.54,cudnn,lg_throttle,0.54,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,22.73,cudnn,long_scoreboard,22.73,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct,%,0.32,cudnn,math_pipe_throttle,0.32,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_membar_per_warp_active.pct,%,0.0,cudnn,membar,0.0,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct,%,15.9,cudnn,mio_throttle,15.9,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_misc_per_warp_active.pct,%,0.0,cudnn,misc,0.0,cuDNN softmax
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_no_instruction_per_warp_active.pct,%,1.91,cudnn,no_instruction,1.91,cuDNN softmax
