ID,Process ID,Process Name,Host Name,Kernel Name,Context,Stream,Block Size,Grid Size,Device,CC,Section Name,Metric Name,Metric Unit,Metric Value,mode,stall_reason,value_pct,stage
0,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, Max>::Policy600, const float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, Max, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,89.09,library,long_scoreboard,89.09,CUB row max
1,17792,softmax_bench,127.0.0.1,"void detail::static_kernel<detail::policy_350_t, long, cuda_cub::unary_transform_f<counting_iterator<int, use_default, use_default, use_default>, float *, cuda_cub::no_stencil_tag, <unnamed>::ExpWithRowMax, cuda_cub::always_true_predicate>>(T2, T3)",1,7,"(256, 1, 1)","(8192, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,71.92,library,long_scoreboard,71.92,Thrust exp
2,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, cuda::plus<void>>::Policy600, float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, cuda::plus<void>, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,71.92,library,long_scoreboard,71.92,CUB row sum
3,17792,softmax_bench,127.0.0.1,"void detail::static_kernel<detail::policy_350_t, long, cuda_cub::unary_transform_f<counting_iterator<int, use_default, use_default, use_default>, float *, cuda_cub::no_stencil_tag, <unnamed>::NormalizeWithRowSum, cuda_cub::always_true_predicate>>(T2, T3)",1,7,"(256, 1, 1)","(8192, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,68.45,library,long_scoreboard,68.45,Thrust normalize
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,63.77,baseline,long_scoreboard,63.77,baseline kernel
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,55.93,framework_torch,long_scoreboard,55.93,torch softmax_warp_forward
0,17889,softmax_bench,127.0.0.1,"void <unnamed>::softmax_max_kernel<256>(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,51.59,user,long_scoreboard,51.59,"void <unnamed>::softmax_max_kernel<256>(const float *, float *, int..."
1,17889,softmax_bench,127.0.0.1,"void <unnamed>::softmax_block_loop_kernel<256, 32>(const float *, float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,47.88,user,long_scoreboard,47.88,block_loop
0,17972,softmax_bench,127.0.0.1,"void <unnamed>::softmax_block_loop_kernel<256, 32>(const float *, float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,34.7,user_v2,long_scoreboard,34.7,block_loop
0,17934,softmax_bench,127.0.0.1,"void <unnamed>::softmax_block_loop_kernel<256, 32>(const float *, float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_barrier_per_warp_active.pct,%,30.77,user_v1,barrier,30.77,block_loop
