mode,sweep,rows,cols,iters,ms,approx_gbps
baseline,cols,4096,128,200,0.030711,136.573
library,cols,4096,128,200,0.0386546,108.507
cudnn,cols,4096,128,200,0.00409584,1024.04
framework_torch,cols,4096,128,200,0.00410528,1021.685
user,cols,4096,128,200,0.0225251,186.206
user_v1,cols,4096,128,200,0.0184285,227.599
user_v2,cols,4096,128,200,0.0184307,227.571
baseline,cols,4096,256,200,0.0327515,256.129
library,cols,4096,256,200,0.0428914,195.578
cudnn,cols,4096,256,200,0.00410992,2041.06
framework_torch,cols,4096,256,200,0.00413856,2026.939
user,cols,4096,256,200,0.0225258,372.401
user_v1,cols,4096,256,200,0.0184344,455.052
user_v2,cols,4096,256,200,0.0184389,454.941
baseline,cols,4096,512,200,0.0348459,481.469
library,cols,4096,512,200,0.0543237,308.838
cudnn,cols,4096,512,200,0.00819968,2046.08
framework_torch,cols,4096,512,200,0.00883232,1899.525
user,cols,4096,512,200,0.03484,481.55
user_v1,cols,4096,512,200,0.0307142,546.236
user_v2,cols,4096,512,200,0.0225078,745.394
baseline,cols,4096,1024,200,0.0430594,779.26
library,cols,4096,1024,200,0.0799786,419.543
cudnn,cols,4096,1024,200,0.0429944,780.437
framework_torch,cols,4096,1024,200,0.021224,1580.966
user,cols,4096,1024,200,0.0614149,546.357
user_v1,cols,4096,1024,200,0.0553318,606.422
user_v2,cols,4096,1024,200,0.0327821,1023.56
baseline,cols,4096,2048,200,0.122793,546.522
library,cols,4096,2048,200,0.250533,267.865
cudnn,cols,4096,2048,200,0.110149,609.254
framework_torch,cols,4096,2048,200,0.1161053,578.0001
user,cols,4096,2048,200,0.163964,409.29
user_v1,cols,4096,2048,200,0.126946,528.639
user_v2,cols,4096,2048,200,0.110488,607.385
baseline,cols,4096,4096,200,0.241659,555.401
library,cols,4096,4096,200,0.636366,210.913
cudnn,cols,4096,4096,200,0.231981,578.571
framework_torch,cols,4096,4096,200,0.2264251,592.7687
user,cols,4096,4096,200,0.40564,330.879
user_v1,cols,4096,4096,200,0.267891,501.016
user_v2,cols,4096,4096,200,0.236523,567.461
baseline,cols,4096,8192,200,0.478846,560.588
library,cols,4096,8192,200,1.30938,205.009
cudnn,cols,4096,8192,200,0.466832,575.015
framework_torch,cols,4096,8192,200,0.4607531,582.6015
user,cols,4096,8192,200,0.810411,331.234
user_v1,cols,4096,8192,200,0.740987,362.267
user_v2,cols,4096,8192,200,0.652279,411.534
baseline,rows,512,1024,200,0.00819472,511.83
library,rows,512,1024,200,0.0227117,184.676
cudnn,rows,512,1024,200,0.00819056,512.09
framework_torch,rows,512,1024,200,0.00412992,1015.59
user,rows,512,1024,200,0.0123408,339.873
user_v1,rows,512,1024,200,0.0102486,409.255
user_v2,rows,512,1024,200,0.0061544,681.513
baseline,rows,1024,1024,200,0.0129907,645.738
library,rows,1024,1024,200,0.0307598,272.713
cudnn,rows,1024,1024,200,0.0122982,682.098
framework_torch,rows,1024,1024,200,0.00616688,1360.268
user,rows,1024,1024,200,0.0184389,454.941
user_v1,rows,1024,1024,200,0.016389,511.845
user_v2,rows,1024,1024,200,0.0102494,818.446
baseline,rows,2048,1024,200,0.0226941,739.277
library,rows,2048,1024,200,0.0485906,345.277
cudnn,rows,2048,1024,200,0.0225445,744.183
framework_torch,rows,2048,1024,200,0.00885424,1894.823
user,rows,2048,1024,200,0.0330698,507.328
user_v1,rows,2048,1024,200,0.0295637,567.494
user_v2,rows,2048,1024,200,0.0184322,910.214
baseline,rows,4096,1024,200,0.0430403,779.605
library,rows,4096,1024,200,0.0799904,419.481
cudnn,rows,4096,1024,200,0.0429978,780.376
framework_torch,rows,4096,1024,200,0.0209832,1599.109
user,rows,4096,1024,200,0.0614381,546.15
user_v1,rows,4096,1024,200,0.0553336,606.402
user_v2,rows,4096,1024,200,0.0327755,1023.77
baseline,rows,8192,1024,200,0.123934,541.489
library,rows,8192,1024,200,0.274196,244.748
cudnn,rows,8192,1024,200,0.10679,628.417
framework_torch,rows,8192,1024,200,0.1159902,578.5734
user,rows,8192,1024,200,0.163897,409.458
user_v1,rows,8192,1024,200,0.117423,571.513
user_v2,rows,8192,1024,200,0.10655,629.837
baseline,rows,16384,1024,200,0.243813,550.495
library,rows,16384,1024,200,0.711604,188.613
cudnn,rows,16384,1024,200,0.233271,575.372
framework_torch,rows,16384,1024,200,0.2332106,575.5216
user,rows,16384,1024,200,0.391185,343.105
user_v1,rows,16384,1024,200,0.235175,570.715
user_v2,rows,16384,1024,200,0.233964,573.669
