sweep,rows,cols,best_mode,best_ms,second_mode,second_ms,user_v2_rank,user_v2_ms,user_v2_vs_best
cols,4096,128,cudnn,0.00409584,framework_torch,0.00410528,4,0.0184307,4.499858392905973
cols,4096,256,cudnn,0.00410992,framework_torch,0.00413856,4,0.0184389,4.486437692217853
cols,4096,512,cudnn,0.00819968,framework_torch,0.00883232,3,0.0225078,2.7449607789572275
cols,4096,1024,framework_torch,0.021224,user_v2,0.0327821,2,0.0327821,1.5445768940821711
cols,4096,2048,cudnn,0.110149,user_v2,0.110488,2,0.110488,1.003077649365859
cols,4096,4096,framework_torch,0.2264251,cudnn,0.231981,3,0.236523,1.0445970875137076
cols,4096,8192,framework_torch,0.4607531,cudnn,0.466832,4,0.652279,1.4156801115391302
rows,512,1024,framework_torch,0.00412992,user_v2,0.0061544,2,0.0061544,1.4901983573531692
rows,1024,1024,framework_torch,0.00616688,user_v2,0.0102494,2,0.0102494,1.6620073683937422
rows,2048,1024,framework_torch,0.00885424,user_v2,0.0184322,2,0.0184322,2.0817371112596903
rows,4096,1024,framework_torch,0.0209832,user_v2,0.0327755,2,0.0327755,1.5619876853864043
rows,8192,1024,user_v2,0.10655,cudnn,0.10679,1,0.10655,1.0
rows,16384,1024,framework_torch,0.2332106,cudnn,0.233271,3,0.233964,1.0032305564155317
